City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Sumenep,ID,84.67,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
1,Hithadhoo,MV,82.22,overcast clouds,-0.6,73.0833,Scoop Guest House
3,Hilo,US,78.53,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
5,Hamilton,US,83.73,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
10,Tautira,PF,78.87,light rain,-17.7333,-149.15,Pension Oaoa
11,Avarua,CK,77.05,clear sky,-21.2078,-159.775,Paradise Inn
13,Kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
15,Cairns,AU,84.11,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
23,Jamestown,US,76.05,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
25,Pundaguitan,PH,82.45,moderate rain,6.3711,126.1689,Leonardo Family Beach House 1
30,Noumea,NC,82.38,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
32,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
44,Buchanan,LR,75.67,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
45,Lufilufi,WS,83.98,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
49,Faanui,PF,80.76,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
55,Champerico,GT,77.65,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
58,Nurota,UZ,89.91,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
59,San Patricio,US,83.84,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
63,Langsa,ID,76.62,overcast clouds,4.4683,97.9683,OYO 3328 Hotel Mori
67,Hatillo,PR,79.09,overcast clouds,18.4863,-66.8254,El Buen Hotel
76,Sapa,PH,82.58,overcast clouds,5.1544,120.3241,
85,Najran,SA,81.25,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
86,Jalu,LY,77.29,clear sky,29.0331,21.5482,صاحبة الفخامة
87,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
88,Atuona,PF,78.04,broken clouds,-9.8,-139.0333,Villa Enata
92,Tura,IN,79.12,heavy intensity rain,25.5198,90.2201,Hotel RIKMAN Continental
93,Amazar,RU,76.93,overcast clouds,53.858,120.875,Гостиничный Комплекс Уют
98,Port Hedland,AU,86.05,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
101,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
103,Mahebourg,MU,76.24,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
115,Bubaque,GW,79.65,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
116,Mareeba,AU,79.48,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
118,Puerto Escondido,MX,76.03,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
119,Bilma,NE,85.86,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
124,Lorengau,PG,85.08,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
127,Ko Samui,TH,87.71,light rain,9.5357,99.9357,The Passage
132,Muncar,ID,85.1,overcast clouds,-8.4333,114.3333,Zaky Homestay
135,Butaritari,KI,82.56,few clouds,3.0707,172.7902,Isles Sunset Lodge
148,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
151,Coahuayana,MX,78.39,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
156,Labuhan,ID,85.89,broken clouds,-6.8844,112.2051,DoubleFAG
160,Ayia Galini,GR,77.4,clear sky,35.1,24.6833,Sunningdale Bungalows
162,The Village,US,84.78,clear sky,35.5609,-97.5514,Renaissance Waterford Oklahoma City Hotel
169,Dakar,SN,76.08,overcast clouds,14.6937,-17.4441,Novotel Dakar
170,Komsomolskiy,UZ,81.32,broken clouds,40.4272,71.7189,Ikathouse
172,Acajutla,SV,76.42,moderate rain,13.5928,-89.8275,Laureles
175,Richmond,US,78.78,broken clouds,37.5538,-77.4603,"Holiday Inn Express Richmond - Downtown, an IHG Hotel"
176,Gao,ML,80.38,light rain,16.6362,1.637,
178,Nara,JP,80.49,light rain,34.6851,135.8049,Guesthouse Nara Komachi
179,Makaha,US,80.51,broken clouds,21.4694,-158.2175,Hawaiian Princess Resort
182,Srandakan,ID,84.99,broken clouds,-7.9386,110.2506,Puri Brata
183,Havelock,US,78.78,clear sky,34.8791,-76.9013,Sherwood Motel
184,Bengkulu,ID,83.64,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
186,Kieta,PG,82.26,light rain,-6.2167,155.6333,Uruna Bay Retreat
187,Barabai,ID,77.45,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
188,Sabang,ID,81.88,overcast clouds,5.8933,95.3214,Hotel Citra
193,Monrovia,LR,76.5,moderate rain,6.3005,-10.7969,Sunset Inn
194,Kirakira,SB,82.44,overcast clouds,-10.4544,161.9205,SanBiz Lodge
196,Adrar,MR,86.38,few clouds,20.5022,-10.0711,
203,Pasni,PK,83.59,broken clouds,25.2631,63.471,Kashmiri Hotal
204,Reforma,MX,75.33,broken clouds,18.1,-91.0167,
209,Hanyang,CN,85.46,overcast clouds,32.1371,105.5126,Forestry Hostel
210,Matara,LK,82.36,light rain,5.9485,80.5353,Amaloh Boutique Resort
211,Teknaf,BD,78.44,overcast clouds,20.8624,92.3058,Forestry Guesthouse
213,Bambanglipuro,ID,84.92,broken clouds,-7.95,110.2833,Puri Brata
215,Jishou,CN,76.82,overcast clouds,28.3167,109.7167,7 Days Inn
216,Kupang,ID,86.63,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
219,Cabo San Lucas,MX,82.62,scattered clouds,22.8909,-109.9124,Vista Roof Restaurant
225,Villa Bisono,DO,76.1,overcast clouds,19.5638,-70.8758,Residencial MAMOLA
231,Seminole,US,82.76,clear sky,28.7086,-81.2081,The Oviedo Lodge Motel
238,Marabba,SD,82.58,overcast clouds,12.35,32.1833,
246,Lazaro Cardenas,MX,80.24,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
247,Luba,GQ,75.09,light rain,3.4568,8.5547,
250,Mana,GF,75.72,broken clouds,5.6592,-53.7767,LE SAMANA
253,Lock Haven,US,81.09,overcast clouds,41.137,-77.4469,Fairfield Inn & Suites by Marriott Lock Haven
254,High Rock,BS,78.82,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
259,Luwuk,ID,84.07,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
261,Yerbogachen,RU,77.99,few clouds,61.2767,108.0108,
263,Terre Haute,US,86.27,clear sky,39.4667,-87.4139,Drury Inn & Suites Terre Haute
265,Banda Aceh,ID,84.52,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
267,Dzerzhinskoye,RU,78.71,scattered clouds,56.8344,95.2283,Kolos
268,Okmulgee,US,82.26,clear sky,35.6234,-95.9605,"Holiday Inn Express & Suites Okmulgee, an IHG Hotel"
271,Bambous Virieux,MU,76.21,few clouds,-20.3428,57.7575,Casa Tia Villa
275,Karratha,AU,82.81,broken clouds,-20.7377,116.8463,ibis Styles Karratha
281,Canon City,US,76.98,clear sky,38.441,-105.2424,Travel Inn Motel
285,Poum,NC,78.89,clear sky,-20.2333,164.0167,
287,Khilok,RU,82.85,broken clouds,51.3674,110.4676,"Gostevoy Dom ""Magnit"""
288,Qui Nhon,VN,87.19,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
293,Hambantota,LK,82.74,moderate rain,6.1241,81.1185,Bungalow 63
295,Shenjiamen,CN,75.24,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
296,Padang,ID,86.05,broken clouds,-0.9492,100.3543,Mercure Padang
298,Bud,US,82.9,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
301,Robertsport,LR,77.76,light rain,6.7533,-11.3686,Kwepunha Retreat
302,Porbandar,IN,87.78,drizzle,21.6422,69.6093,Lords Inn Porbandar
305,Bandarbeyla,SO,84.15,overcast clouds,9.4942,50.8122,JABIR HOTEL
306,Kavieng,PG,82.76,light rain,-2.5744,150.7967,Nusa Island Retreat
308,Anloga,GH,76.06,light rain,5.7947,0.8973,Pin Drop Hotel
311,Dingle,PH,89.08,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
312,Maningrida,AU,88.29,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
315,Kallithea,GR,78.57,few clouds,37.95,23.7,Athens Atrium Hotel
316,Nacozari,MX,82.11,few clouds,25.3366,-108.2574,El Llano
319,Shache,CN,89.8,overcast clouds,38.4167,77.2406,Delong Hotel
